id,latitude,longitude,weather,datetime,ligth,road_conditions,nearby
223706195,55.035764,83.001441,Ясно,31.03.2024 21:45,"В темное время суток, освещение включено","Отсутствие, плохая различимость горизонтальной разметки проезжей части; Неисправное освещение",Остановка общественного транспорта; Остановка трамвая; Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта); Административные здания
223704494,55.080664,82.964716,Ясно,31.03.2024 07:30,Светлое время суток,Не установлены,Административные здания; Многоквартирные жилые дома
223732227,55.041401,83.019015,Ясно,31.03.2024 21:43,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах",Жилые дома индивидуальной застройки
223704470,54.976493,82.908465,Ясно,31.03.2024 00:10,"В темное время суток, освещение включено","Отсутствие, плохая различимость горизонтальной разметки проезжей части; Неисправное освещение; Несоответствие люков смотровых колодцев и ливневой канализации предъявляемым требованиям; Иные недостатки",Остановка общественного транспорта; Школа либо иная детская (в т.ч. дошкольная) организация; Административные здания; Многоквартирные жилые дома
223707212,55.006290,82.969265,Пасмурно,31.03.2024 14:25,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",Административные здания; Многоквартирные жилые дома
223717399,55.082150,82.895826,Пасмурно,30.03.2024 16:30,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",Административные здания; Жилые дома индивидуальной застройки
223704417,55.048243,82.911640,Ясно,30.03.2024 15:15,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части; Иные недостатки",Остановка общественного транспорта; Административные здания; Многоквартирные жилые дома
223704386,54.980520,82.899806,Ясно,29.03.2024 08:15,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие элементов обустройства остановочного пункта общественного пассажирского транспорта; Иные недостатки",Административные здания; Регулируемый перекрёсток; Многоквартирные жилые дома
223704395,55.070020,82.947721,Пасмурно,29.03.2024 22:30,"В темное время суток, освещение включено","Отсутствие, плохая различимость горизонтальной разметки проезжей части; Иные недостатки",Административные здания; Многоквартирные жилые дома
223699710,55.030408,82.919666,Пасмурно,28.03.2024 12:14,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах",Административные здания; Регулируемый пешеходный переход; Регулируемый перекрёсток; Многоквартирные жилые дома
223699749,55.040534,82.981743,Пасмурно,28.03.2024 21:55,"В темное время суток, освещение включено","Отсутствие, плохая различимость горизонтальной разметки проезжей части",Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта); Административные здания; Многоквартирные жилые дома
223699720,55.111065,82.940651,Пасмурно,28.03.2024 18:20,Светлое время суток,"Дефекты покрытия; Отсутствие, плохая различимость горизонтальной разметки проезжей части",Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта); Административные здания; Многоквартирные жилые дома
223699703,54.974867,82.859756,Пасмурно,27.03.2024 21:55,"В темное время суток, освещение включено","Отсутствие, плохая различимость горизонтальной разметки проезжей части; Иные недостатки",Жилые дома индивидуальной застройки
223699694,54.986522,82.901888,Ясно,27.03.2024 14:00,Светлое время суток,"Отсутствие, плохая различимость горизонтальной разметки проезжей части; Иные недостатки",Школа либо иная детская (в т.ч. дошкольная) организация; Иная образовательная организация; Административные здания; Регулируемый пешеходный переход
223697838,54.980988,82.849274,Ясно,27.03.2024 13:20,Светлое время суток,"Неровное покрытие; Дефекты покрытия; Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах",Остановка общественного транспорта; Школа либо иная детская (в т.ч. дошкольная) организация; Административные здания; Жилые дома индивидуальной застройки
223697800,54.982040,82.834972,Пасмурно,26.03.2024 22:15,"В темное время суток, освещение отсутствует","Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие освещения; Иные недостатки",Остановка трамвая; Административные здания; Многоквартирные жилые дома
